age,gender,annual_income,policy_type,premium_amount,incident_type,incident_hour,num_witnesses,police_report,previous_claims,vehicle_age,region_risk,claim_amount,claim_frequency,claim_to_premium_ratio,fraud_label
40,Female,270309,Basic,27068,Collision,4,2,0,8,5,0.729706069,59682.1071,0.347826087,2.204895341,1
57,Male,1129950,Basic,54057,Other,1,0,0,4,12,0.264539896,264142.1441,0.1,4.886363358,0
38,Female,886093,Basic,23946,Other,18,5,1,4,8,0.458357277,119744.71,0.19047619,5.000614298,0
33,Female,1367732,Gold,25547,Collision,6,0,1,10,7,0.936243363,89821.36872,0.625,3.515926282,0
62,Male,538144,Gold,24701,Collision,6,5,1,10,3,0.231514429,100215.3785,0.222222222,4.057138518,0
35,Male,1690424,Gold,56588,Collision,9,4,1,8,4,0.288420737,250361.1962,0.444444444,4.424280699,1
64,Female,221576,Gold,10769,Other,16,1,0,10,1,0.460594038,72968.71922,0.212765957,6.775811981,0
41,Male,1776184,Gold,29883,Other,13,0,1,4,0,0.945886719,112999.1923,0.166666667,3.781387154,1
43,Female,866110,Premium,18663,Theft,10,0,1,8,13,0.202436327,120898.6359,0.307692308,6.477985098,1
42,Female,827290,Gold,43686,Fire,19,4,1,0,5,0.70564813,124839.286,0,2.857649727,0
62,Male,1433111,Basic,55241,Other,5,0,0,9,2,0.218910272,213697.2665,0.2,3.868453983,0
58,Female,1275148,Gold,42323,Collision,7,2,0,9,10,0.572050932,101557.289,0.219512195,2.399576803,0
46,Female,1235865,Basic,40162,Fire,18,4,0,10,3,0.582907162,166133.9047,0.344827586,4.13659441,0
32,Male,1528668,Gold,27852,Other,18,0,0,7,13,0.138363496,118527.5932,0.466666667,4.255622332,0
62,Male,1768690,Gold,25388,Fire,23,0,0,2,0,0.958706012,127280.7506,0.044444444,5.013421721,1
18,Male,840816,Basic,38434,Theft,23,0,1,7,5,0.825960367,223856.8544,7,5.824448518,1
42,Female,894186,Basic,27102,Other,23,4,0,4,7,0.372568781,157062.5968,0.16,5.795240086,1
24,Male,289051,Basic,26536,Collision,16,1,1,1,13,0.217561863,72885.95411,0.142857143,2.746682021,0
26,Male,1014299,Basic,17355,Collision,23,3,0,8,9,0.411064042,66027.39034,0.888888889,3.804516873,0
41,Male,1439879,Premium,7234,Theft,23,5,0,3,3,0.904848892,24798.47496,0.125,3.428044645,1
18,Male,1995292,Basic,44103,Theft,17,0,0,6,9,0.219415237,114880.369,6,2.604819831,0
61,Female,403305,Gold,55388,Theft,11,3,0,11,14,0.414385388,139844.934,0.25,2.52482368,0
25,Female,1555398,Gold,55775,Theft,8,3,0,7,7,0.544873982,211832.5892,0.875,3.797984567,0
41,Male,657576,Premium,36147,Theft,22,0,0,6,10,0.129595885,194373.3539,0.25,5.377302513,1
28,Female,773722,Basic,55526,Other,23,0,1,10,9,0.341230341,233800.9464,0.909090909,4.210657104,1
68,Male,266617,Gold,28659,Other,15,5,0,5,2,0.636070504,151527.1702,0.098039216,5.28724555,0
34,Male,841857,Premium,49271,Fire,17,3,0,11,14,0.391568123,286507.5392,0.647058824,5.814932501,1
25,Female,1980248,Gold,44127,Theft,15,1,1,6,12,0.883472896,148818.0259,0.75,3.372493619,0
52,Female,1066164,Premium,21560,Collision,15,3,0,3,14,0.943088877,115907.9917,0.085714286,5.376066403,1
52,Male,710874,Premium,51644,Collision,3,1,0,9,10,0.497388579,106777.2002,0.257142857,2.067562547,0
50,Male,1618368,Basic,28088,Theft,22,2,1,0,13,0.578818428,102681.5309,0,3.655708162,0
22,Female,1330070,Premium,7928,Theft,21,1,1,4,6,0.667727441,32571.41927,0.8,4.108403036,0
59,Male,1992841,Gold,45385,Theft,6,5,0,7,2,0.698081469,116766.3114,0.166666667,2.572795228,0
56,Female,801513,Gold,45382,Theft,0,4,0,9,14,0.15693215,168153.5699,0.230769231,3.705292185,1
58,Male,282867,Basic,33184,Theft,23,0,0,5,5,0.148311487,118671.2997,0.12195122,3.57616019,0
45,Male,368600,Basic,25099,Collision,22,2,0,4,3,0.879028907,126322.641,0.142857143,5.032975058,0
24,Female,979957,Premium,9274,Fire,19,3,0,1,5,0.297884842,50144.40482,0.142857143,5.406987796,0
26,Female,1707394,Basic,29970,Theft,0,1,0,9,6,0.625694953,140210.2169,1,4.678352248,1
25,Female,1082693,Gold,30744,Theft,7,2,1,11,7,0.662204633,144007.5421,1.375,4.684086067,1
29,Female,815036,Gold,42739,Theft,22,4,1,4,13,0.24801785,95444.83961,0.333333333,2.233202452,0
51,Female,454265,Basic,13389,Other,7,1,1,9,5,0.785436964,66892.22161,0.264705882,4.996058078,1
50,Female,719493,Basic,22352,Collision,9,5,1,11,3,0.879351056,76065.55782,0.333333333,3.403076137,1
65,Female,364404,Basic,57307,Collision,0,3,0,2,8,0.356839913,160528.3706,0.041666667,2.801200039,0
40,Male,1110913,Premium,26148,Fire,20,3,1,1,6,0.890056163,53634.67043,0.043478261,2.051195901,1
41,Male,853817,Premium,36828,Other,20,1,0,2,8,0.172933452,155913.0093,0.083333333,4.233545382,0
54,Male,1196433,Gold,7504,Other,13,4,0,3,14,0.820417534,40279.59322,0.081081081,5.36774963,0
52,Female,684353,Premium,43774,Other,13,0,1,1,2,0.676100045,106729.8454,0.028571429,2.438201796,1
61,Female,464395,Premium,33743,Fire,9,0,0,3,4,0.62479971,92617.11965,0.068181818,2.74478024,1
57,Female,882387,Premium,33894,Fire,18,3,1,3,0,0.30711947,160141.4088,0.075,4.724771606,0
39,Male,1345958,Premium,35995,Fire,15,4,1,5,10,0.425657623,180659.0457,0.227272727,5.019003909,1
44,Female,679767,Gold,45711,Other,8,3,1,11,11,0.919273946,180724.0694,0.407407407,3.953623185,1
52,Female,209583,Basic,55421,Collision,19,0,1,4,7,0.519166978,125663.0136,0.114285714,2.26742595,0
18,Male,774675,Gold,22748,Other,15,3,1,6,0,0.634942076,48180.46194,6,2.118008701,0
52,Female,1533824,Premium,28100,Fire,19,1,0,10,0,0.94226638,87663.10021,0.285714286,3.119683282,1
54,Male,736512,Basic,38691,Other,7,5,1,6,13,0.519839596,186697.7365,0.162162162,4.825353093,1
64,Male,1047056,Basic,54622,Theft,6,1,0,2,6,0.449442315,219204.2244,0.042553191,4.013112379,0
31,Female,1697850,Basic,27981,Other,10,5,0,8,13,0.9038819,140844.882,0.571428571,5.033590007,1
20,Female,1476020,Gold,37708,Other,20,4,0,6,10,0.919799159,141716.6914,2,3.758265923,0
18,Female,1146803,Basic,15246,Collision,5,0,0,6,13,0.419174433,84393.98351,6,5.535483636,1
22,Male,1589292,Gold,50243,Collision,14,4,1,1,7,0.632790714,176993.0021,0.2,3.522739528,0
43,Male,1071901,Gold,37486,Collision,18,4,0,11,2,0.967354996,86326.50808,0.423076923,2.302899965,1
31,Male,1715266,Premium,35340,Theft,13,0,1,9,1,0.149923626,78298.76864,0.642857143,2.215584851,1
56,Female,1514861,Premium,24338,Collision,14,2,0,2,6,0.135822178,123455.4527,0.051282051,5.07253894,0
44,Female,878710,Basic,55300,Theft,5,2,1,2,9,0.564922458,229722.9027,0.074074074,4.154121207,0
26,Female,668298,Basic,8086,Fire,23,3,1,11,4,0.362116129,39657.0856,1.222222222,4.904413257,1
32,Female,336149,Premium,30535,Collision,9,2,1,5,14,0.623664896,152783.908,0.333333333,5.003566661,1
32,Male,770303,Gold,19860,Other,13,1,1,3,0,0.751865818,45072.81283,0.2,2.269527333,0
43,Male,1188651,Gold,22013,Other,15,5,1,3,1,0.162166904,94834.47707,0.115384615,4.308112346,0
59,Male,1176684,Premium,12407,Theft,12,4,0,0,2,0.894130728,68716.70871,0,5.538543461,1
30,Male,1420505,Gold,38542,Collision,10,3,0,5,5,0.349198301,90941.21342,0.384615385,2.359535401,0
68,Female,956556,Premium,29935,Other,2,4,0,7,13,0.443212734,78898.97936,0.137254902,2.635676611,0
49,Female,1439488,Premium,46477,Fire,7,0,0,7,0,0.403333077,167189.6597,0.21875,3.597255841,1
56,Female,1046334,Basic,54079,Collision,2,2,1,7,14,0.855851372,237636.4452,0.179487179,4.394246292,0
66,Male,1254153,Basic,39111,Fire,1,0,0,4,7,0.25358698,72319.51504,0.081632653,1.849083763,1
69,Male,1006434,Premium,15161,Other,20,3,0,9,1,0.125805896,67043.54278,0.173076923,4.422105586,0
49,Female,250711,Basic,28581,Collision,13,5,0,5,4,0.974621451,61879.86729,0.15625,2.165070057,1
21,Female,763739,Premium,37277,Theft,19,1,0,4,7,0.982569228,101398.8057,1,2.720143942,0
47,Male,693027,Gold,26400,Other,20,2,0,3,12,0.331923547,125329.1886,0.1,4.747317752,1
54,Female,904463,Gold,16419,Fire,21,0,1,11,4,0.108417372,91654.1943,0.297297297,5.582203197,1
40,Male,621863,Gold,45565,Collision,14,5,1,3,12,0.681325392,211848.5364,0.130434783,4.649369833,0
56,Male,759119,Gold,24283,Fire,2,2,0,3,13,0.683616954,53752.29372,0.076923077,2.213577141,0
62,Male,1497978,Premium,5934,Fire,0,4,1,3,7,0.946321043,35575.60915,0.066666667,5.995215563,1
32,Female,444942,Gold,39754,Theft,14,1,0,5,13,0.36862346,142358.8291,0.333333333,3.580993839,0
60,Female,295119,Gold,26380,Theft,19,5,1,5,5,0.27055376,99724.66689,0.11627907,3.780313377,0
46,Male,1053262,Gold,19016,Other,21,2,1,4,6,0.654744112,69447.33613,0.137931034,3.652047546,0
53,Female,1591352,Gold,43233,Theft,1,1,0,11,7,0.607303959,233056.0934,0.305555556,5.390699081,0
30,Male,1023265,Premium,27695,Theft,17,5,1,10,2,0.745963114,132869.6168,0.769230769,4.797603063,1
49,Male,948224,Gold,29952,Other,0,4,0,10,12,0.896614663,125835.096,0.3125,4.201225162,1
24,Male,1242137,Basic,47734,Other,8,4,0,8,11,0.603770669,248396.4268,1.142857143,5.203763079,0
68,Male,1834418,Basic,20721,Other,2,0,1,7,13,0.235067734,114833.248,0.137254902,5.54187771,1
39,Female,250755,Basic,6505,Other,1,3,1,9,4,0.638316049,25388.74914,0.409090909,3.90295913,0
45,Male,1135210,Basic,10363,Fire,3,0,1,5,9,0.436691411,47395.03229,0.178571429,4.573485699,0
19,Male,1401988,Basic,53708,Fire,15,1,1,10,6,0.507461526,107637.8162,5,2.00413004,0
59,Female,1051426,Basic,48614,Other,21,0,0,8,8,0.963535952,148655.2545,0.19047619,3.057869224,1
62,Male,1836748,Premium,6010,Other,0,5,0,4,13,0.599452349,40839.24974,0.088888889,6.795216262,0
23,Male,1070793,Basic,52692,Collision,8,2,0,9,5,0.234682443,294014.0261,1.5,5.579860817,1
45,Female,1790346,Gold,51250,Collision,7,5,0,3,9,0.498842746,135498.6654,0.107142857,2.643876399,0
45,Female,1302801,Basic,24861,Collision,5,0,0,5,0,0.305587452,46922.1025,0.178571429,1.887377921,1
61,Female,389921,Premium,29125,Theft,19,3,0,3,10,0.221934245,100059.684,0.068181818,3.435525633,0
61,Male,1847718,Basic,14369,Fire,17,5,1,7,7,0.741010701,54814.79037,0.159090909,3.814795071,1
37,Female,1814120,Gold,8857,Fire,15,5,0,6,5,0.665712162,48769.05792,0.3,5.50627277,0
47,Female,440617,Gold,31671,Collision,7,5,0,4,0,0.54800998,116222.3862,0.133333333,3.66967845,0
28,Male,1357297,Premium,14864,Collision,22,3,1,9,3,0.480914466,61009.8629,0.818181818,4.104538677,0
45,Male,805398,Premium,37490,Fire,3,5,1,5,5,0.389995958,100659.1574,0.178571429,2.684960188,0
42,Male,313606,Premium,15120,Theft,2,1,0,10,12,0.179207841,93786.49451,0.4,6.202810483,0
56,Male,1787514,Premium,25223,Collision,14,4,0,6,14,0.369342683,78894.99192,0.153846154,3.12789882,1
50,Male,1425766,Basic,37150,Other,5,3,1,1,9,0.854555161,69858.61789,0.03030303,1.880447319,0
18,Female,1277506,Basic,49138,Collision,0,1,0,8,0,0.805307855,196682.3247,8,4.002652217,1
44,Female,941067,Gold,58420,Fire,17,3,1,6,9,0.975085952,175288.055,0.222222222,3.00048023,0
69,Female,460102,Premium,7553,Fire,22,3,1,7,4,0.690460401,45353.59037,0.134615385,6.004712084,1
30,Male,1611120,Premium,20489,Collision,10,4,1,4,2,0.598275782,44361.41846,0.307692308,2.165133411,0
58,Male,1522521,Basic,9389,Collision,2,2,0,2,6,0.366440035,56374.14689,0.048780488,6.004275949,0
20,Male,1824224,Premium,54703,Other,12,1,0,1,12,0.169174218,130441.2761,0.333333333,2.38453606,0
56,Female,347631,Gold,26950,Other,16,3,1,1,7,0.656216505,83915.73353,0.025641026,3.113756346,0
23,Female,1543054,Gold,16089,Theft,17,3,1,2,2,0.539345973,59085.83741,0.333333333,3.672436908,1
25,Male,436545,Premium,46999,Theft,13,0,0,0,9,0.783167062,242337.0312,0,5.156216753,1
44,Female,1261864,Gold,59910,Other,6,5,0,0,2,0.470672136,264014.6981,0,4.406855251,0
26,Male,1926334,Gold,8051,Theft,6,2,0,6,13,0.986996222,32240.55588,0.666666667,4.004540539,0
54,Female,1455878,Basic,43090,Theft,13,4,1,9,10,0.457850849,158734.4444,0.243243243,3.683788452,0
50,Female,480195,Gold,33805,Collision,23,1,1,11,2,0.399764471,141620.0424,0.333333333,4.18932236,1
68,Female,1310291,Premium,34442,Other,14,3,1,10,13,0.883887739,169893.4568,0.196078431,4.932740746,0
59,Male,1259313,Premium,49557,Collision,11,5,0,7,10,0.455955781,203185.1113,0.166666667,4.100028479,0
61,Female,1838004,Gold,7555,Collision,11,1,1,5,5,0.883807587,35153.16028,0.113636364,4.652966284,0
41,Female,1929187,Premium,55241,Theft,7,4,1,6,5,0.124618857,263519.9709,0.25,4.770369306,0
32,Male,1430623,Basic,17767,Collision,15,2,1,0,14,0.72333398,60518.29954,0,3.40621937,0
49,Female,467291,Gold,5458,Fire,8,0,0,0,2,0.164667586,30738.95456,0,5.631908127,1
49,Male,1823372,Gold,53469,Theft,1,2,1,8,5,0.233409217,297411.4317,0.25,5.562315206,0
41,Male,1562944,Gold,21066,Fire,13,0,1,4,8,0.730067518,101205.7024,0.166666667,4.804220185,1
58,Male,1530363,Premium,9721,Theft,23,1,0,6,10,0.360751007,62900.98206,0.146341463,6.470628748,0
69,Male,1549687,Premium,17446,Collision,23,2,1,5,7,0.289390061,64606.36021,0.096153846,3.703219088,0
66,Male,1216354,Gold,11304,Theft,15,2,0,3,10,0.821373524,52747.75752,0.06122449,4.666291359,0
66,Female,303535,Premium,51333,Fire,4,2,0,0,12,0.951622178,138984.3301,0,2.707504532,1
69,Male,1247861,Premium,47967,Theft,4,4,1,3,12,0.309142584,252376.3419,0.057692308,5.261457708,1
29,Male,1201507,Gold,39688,Fire,19,1,0,9,6,0.385476361,150808.1669,0.75,3.799842947,0
56,Male,1545528,Gold,18227,Other,20,0,1,9,6,0.742665975,82929.65845,0.230769231,4.5498249,0
19,Male,1761014,Premium,45462,Collision,17,2,0,7,7,0.833763584,239412.8643,3.5,5.266219355,1
20,Female,922648,Gold,59820,Fire,17,1,1,11,6,0.99924607,300002.8014,3.666666667,5.015091965,1
66,Male,783247,Gold,11298,Other,4,5,0,10,12,0.346033651,52487.21862,0.204081633,4.645708853,1
54,Female,595065,Gold,44397,Collision,10,4,0,0,2,0.60095673,83121.59326,0,1.872234459,0
66,Male,530322,Gold,50487,Other,12,4,0,1,7,0.220617047,113464.898,0.020408163,2.247408203,0
34,Female,922496,Premium,42914,Fire,2,5,1,7,7,0.397756095,136578.8378,0.411764706,3.182617276,1
66,Male,1440388,Gold,55155,Collision,16,1,1,1,12,0.140471714,157585.7629,0.020408163,2.857143738,0
19,Male,1360831,Basic,57235,Other,17,0,1,10,0,0.289754689,109623.3171,5,1.915319597,1
19,Female,810610,Gold,15306,Fire,13,1,0,11,9,0.555890479,70411.75613,5.5,4.600271536,0
45,Male,1137687,Basic,7589,Other,11,1,0,9,4,0.247383211,30096.69283,0.321428571,3.96583118,0
40,Female,1757098,Gold,42078,Collision,13,3,1,8,13,0.900444979,118795.3905,0.347826087,2.823218558,0
54,Male,1249708,Basic,40009,Collision,17,4,1,2,4,0.73927811,191039.1578,0.054054054,4.774904591,0
49,Female,1942195,Basic,59918,Collision,19,0,0,2,0,0.124962402,211485.7708,0.0625,3.529586616,1
50,Male,951972,Gold,18601,Fire,1,3,0,5,5,0.8890314,65650.69917,0.151515152,3.529417728,0
18,Male,459427,Gold,12711,Other,6,5,0,2,13,0.979588895,37994.77414,2,2.989125493,0
36,Female,1680355,Gold,26364,Other,14,1,1,8,5,0.551675413,145400.4349,0.421052632,5.51511284,0
19,Male,1734019,Basic,38706,Fire,9,5,0,10,13,0.38314961,219471.8669,5,5.670228566,1
61,Male,1881699,Premium,34610,Collision,14,4,1,7,11,0.337118004,139720.7847,0.159090909,4.037006203,1
43,Male,342003,Premium,42069,Theft,16,3,0,3,3,0.178677545,224131.9243,0.115384615,5.327721703,0
49,Male,982516,Gold,8970,Collision,10,3,1,5,5,0.54244844,40131.62798,0.15625,4.473983052,1
23,Male,1846033,Premium,8999,Theft,1,0,0,7,13,0.14512602,34358.80008,1.166666667,3.818068683,1
49,Male,460529,Premium,26034,Collision,20,1,0,3,5,0.553453472,47825.43329,0.09375,1.837037462,0
21,Female,643855,Gold,41176,Fire,17,0,1,4,0,0.327293597,88908.33818,1,2.159227176,0
28,Female,453608,Basic,51575,Theft,3,3,0,6,4,0.52878876,216816.5015,0.545454545,4.203906961,0
34,Female,958673,Gold,46730,Fire,8,3,0,7,1,0.476545714,141078.5994,0.411764706,3.019015609,1
55,Male,914261,Premium,21632,Theft,16,0,0,6,14,0.374602827,104544.8814,0.157894737,4.832880983,1
41,Female,1873281,Basic,18385,Other,16,3,1,7,13,0.503774416,81934.0641,0.291666667,4.456571341,0
22,Male,1773908,Premium,10950,Theft,16,2,0,3,6,0.5266305,38510.95077,0.6,3.516981806,0
69,Male,377763,Basic,40694,Theft,15,4,1,0,12,0.850322585,102636.823,0,2.522161081,0
51,Male,431807,Premium,12975,Theft,19,1,0,5,8,0.699205009,35168.6703,0.147058824,2.710494821,0
23,Male,224363,Gold,58009,Other,7,4,0,4,14,0.489840938,281556.3923,0.666666667,4.853667402,1
39,Female,1557414,Premium,26314,Fire,22,1,1,10,8,0.914717744,144676.1041,0.454545455,5.498065824,0
28,Male,594798,Premium,28398,Other,14,3,1,3,13,0.780166699,115101.4808,0.272727273,4.053154475,0
